,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
33 - 152/,Townline Road Underpass (Waterloo Regional Rd #33),401,43.420858,-80.283044,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2005,,,2,Total=74  (1)=37;(2)=37;,75.5,30.4,West,WATERLOO,Open to traffic,Provincial,06/05/2012,95.5,,95.5,,98.1,,99.9,,100,,67.2,,67.2,73.9,
33 - 175/,Waterloo Regional Road #58 Underpass,401,43.312723,-80.473632,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,2007,,,2,Total=94  (1)=47;(2)=47;,94.5,12.6,West,WATERLOO,Open to traffic,Provincial,06/05/2012,98.8,,98.8,,99.3,,99.4,,61.6,,61.6,,63.9,71.4,
33 - 176/,Waterloo Regional Road #97 Underpass,401,43.331933,-80.444572,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1960,2003,1990,4,Total=79.8  (1)=14.9;(2)=26.2;(3)=26.2;(4)=12.5;,79.7,10.6,West,WATERLOO,Open to traffic,Provincial,06/19/2012,71.8,,71.8,,72.6,,74.3,,76.1,,75,,60.8,72.1,
33 - 177/,Waterloo Regional Road #46 Underpass (Roseville Rd),401,43.351435,-80.416694,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1960,2002,1990,4,Total=58  (1)=9.6;(2)=19.4;(3)=19.4;(4)=9.6;,58.2,10,West,WATERLOO,Open to traffic,Provincial,06/19/2012,70.3,,70.3,,72.5,,76.1,,77.2,,75,,56.9,71.1,
33 - 187/1,"Fairway Road and CPR Overpass EBL
",8,43.425505,-80.433508,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,2007,,,2,Total=49.2  (1)=29.2;(2)=20;,50.3,27.6,West,WATERLOO,Open to traffic,Provincial,08/14/2012,99.7,,99.7,,99.8,,99.9,,69.8,,69.8,,70.7,74.3,
33 - 187/2,"Fairway Road and CPR Overpass WBL
",8,43.425631,-80.43342,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,2007,,,2,Total=49.2  (1)=29.2;(2)=20;,50.3,25.3,West,WATERLOO,Open to traffic,Provincial,08/14/2012,99.5,,99.5,,99.7,,100,,69.7,,69.7,,70.2,74.4,
33 - 214/1,Highway #8 Overpass EBL,8,43.41457,-80.404817,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1987,2011,,2,Total=41  (1)=23;(2)=18;,43.8,24,West,WATERLOO,Open to traffic,Provincial,08/14/2012,90.5,,90.5,,74.7,,74.5,,74.8,,75,,75,75,
33 - 214/2,Highway #8 Overpass WBL,8,43.414899,-80.404979,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1987,2011,,2,Total=42  (1)=24;(2)=18;,44.8,27,West,WATERLOO,Open to traffic,Provincial,08/14/2012,85.5,,85.5,,74.5,,74.3,,73.7,,73.7,,75,75,
33 - 221/,FRANKLIN ST U/P ON K-W EXPRESSWAY,8,43.433632,-80.448542,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,2002,,,2,Total=46.8  (1)=23.4;(2)=23.4;,47.8,24.6,West,WATERLOO,Open to traffic,Provincial,05/22/2012,90,,90,,90.8,,91.3,,92.1,,100,,,74.9,
33 - 222/1,K-W KING ST OPASS EBL    (TWIN),7,43.436297,-80.456835,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1966,1998,2012,4,Total=77.8  (1)=10.7;(2)=24.4;(3)=29;(4)=13.7;,78.3,22.1,West,WATERLOO,Open to traffic,Provincial,04/30/2013,76.1,76.1,,77.6,,77.6,,72.7,,74.8,74.8,,,75,
33 - 222/2,K-W KING ST OPASS WBL    (TWIN),7,43.43636,-80.457048,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1966,1998,2012,4,Total=78  (1)=11;(2)=24;(3)=29;(4)=14;,78.3,26.6,West,WATERLOO,Open to traffic,Provincial,04/29/2013,74.9,74.9,,73.7,,75.6,,72.9,,74.7,74.8,,,75,
33 - 223/1,ECKERT ST OVERPASS EBL,7,43.434123,-80.457583,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1966,1998,,3,Total=39  (1)=9;(2)=21;(3)=9;,41,23.4,West,WATERLOO,Open to traffic,Provincial,04/30/2013,68.1,68.1,,72.8,,74.3,,68.4,,72.6,73,,,75.8,
33 - 223/2,ECKERT ST OVERPASS WBL,7,43.434179,-80.457814,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1966,1998,,3,Total=40  (1)=9.5;(2)=21;(3)=9.5;,41,21.3,West,WATERLOO,Open to traffic,Provincial,04/30/2013,68.6,68.6,,70.4,,71.1,,68.5,,74.7,74.7,,,75,
33 - 224/1,Courtland Ave. - Schneider Creek Overpass EBL,7,43.430412,-80.470158,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,2013,,,4,Total=86.9  (1)=14.3;(2)=30.5;(3)=29.3;(4)=12.8;,89.1,24,West,WATERLOO,Open to traffic,Provincial,11/05/2013,97.6,97.6,,65.1,,64.1,,63,,65.6,,73.9,,71.7,
33 - 224/2,Courtland Ave. - Schneider Creek Overpass WBL,7,43.430585,-80.470237,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,2014,2009,4,Total=86.9  (1)=14.3;(2)=30.5;(3)=29.3;(4)=12.8;,88,20.5,West,WATERLOO,Open to traffic,Provincial,11/05/2013,63.9,63.9,,65.7,,66.5,,61.9,,62.5,,71.9,,67.9,
33 - 225/1,CNR Overhead EBL,7,43.429939,-80.473548,Bridge,Slab,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1968,2013,,1,Total=7.3  (1)=7.3;,9.4,21.2,West,WATERLOO,Open to traffic,Provincial,11/05/2013,80.2,80.2,,69.2,,70.5,,65.7,,69.8,,73,,74.2,
33 - 225/2,CNR Overhead WBL,7,43.430065,-80.473708,Bridge,Slab,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1968,2014,,1,Total=7.3  (1)=7.3;,9.3,18.1,West,WATERLOO,Open to traffic,Provincial,11/05/2013,64.7,64.7,,65,,66.6,,70.4,,72.1,,72.9,,74.8,
33 - 226/1,Ottawa Street South Overpass EBL,7,43.428395,-80.481263,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1967,2014,,3,Total=50  (1)=12.5;(2)=25;(3)=12.5;,50.6,17.8,West,WATERLOO,Open to traffic,Provincial,07/04/2013,66.5,66.5,,67.7,,68.6,,65,,71.1,,74.2,,74.9,
33 - 226/2,Ottawa Street South Overpass WBL,7,43.42856,-80.481291,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1967,2014,,3,Total=50  (1)=12.5;(2)=25;(3)=12.5;,50.6,23,West,WATERLOO,Open to traffic,Provincial,07/04/2013,62.4,62.4,,62.9,,65.2,,61.8,,67.8,,74.3,,74.9,
33 - 227/1,Homer Watson Blvd. Overpass EBL,7,43.427821,-80.484125,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,2013,,4,Total=82.5  (1)=15.8;(2)=28;(3)=25;(4)=13.7;,82.6,19.8,West,WATERLOO,Open to traffic,Provincial,10/03/2013,66.4,66.4,,67.3,,67.2,,56.7,,59.5,,72.7,,74.7,
33 - 227/2,Homer Watson Blvd. Overpass WBL,7,43.427926,-80.484515,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,2013,,4,Total=82.5  (1)=15.8;(2)=28;(3)=25;(4)=13.7;,82.6,17,West,WATERLOO,Open to traffic,Provincial,10/03/2013,61.6,61.6,,62.8,,62.8,,47.6,,58.8,,71.1,,73.4,
33 - 228/1,Westmount Road Overpass EBL,7,43.423165,-80.502694,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,2013,,,3,Total=43.6  (1)=11;(2)=21.6;(3)=11;,45.2,17.7,West,WATERLOO,Open to traffic,Provincial,10/29/2013,97.9,97.9,,68.3,,68.9,,67.5,,69.8,,74.1,,74.9,
33 - 228/2,Westmount Road Overpass WBL,7,43.423311,-80.502801,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,2013,,,3,Total=43.6  (1)=11;(2)=21.6;(3)=11;,45.2,18.4,West,WATERLOO,Open to traffic,Provincial,11/26/2013,93.8,93.8,,67.9,,68.2,,69,,71.2,,74.1,,74.9,
33 - 229/,"Fischer Hallman Road Underpass
",7,43.419149,-80.514045,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,2012,1999,3,Total=92  (1)=22.6;(2)=46.8;(3)=22.6;,92,23.5,West,WATERLOO,Open to traffic,Provincial,06/20/2013,77.3,77.3,,70.7,,71,,71.1,,73.6,,73.6,,75,
33 - 230/1,Weber St. Overpass E.B.L.,7,43.437745,-80.456439,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1966,1998,2010,3,Total=45  (1)=11;(2)=23;(3)=11;,45.2,22.1,West,WATERLOO,Open to traffic,Provincial,04/30/2013,67.3,67.3,,67.9,,68,,72.7,,74.7,74.7,,,75,
33 - 230/2,Weber St. Overpass W.B.L.,7,43.437845,-80.456648,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1966,1998,2010,3,Total=45  (1)=11;(2)=23;(3)=11;,45.4,22.1,West,WATERLOO,Open to traffic,Provincial,04/30/2013,76.1,76.1,,74.2,,74.2,,72.8,,74.6,74.6,,,75,
33 - 231/,Ottawa St. (North) Underpass,7,43.446565,-80.460615,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,2000,,,2,Total=72  (1)=36;(2)=36;,73.5,20.5,West,WATERLOO,Open to traffic,Provincial,04/26/2013,96.2,96.2,,96.3,,98.4,,74.9,,75,,75,,75,
33 - 233/1,Krug Street Overpass EBL,7,43.454134,-80.468034,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1967,1998,,3,Total=44  (1)=11;(2)=22;(3)=11;,43.1,23.4,West,WATERLOO,Open to traffic,Provincial,06/06/2013,72.2,72.2,,73.5,,72.2,,73.1,,75,,75,,75,
33 - 233/2,Krug Street Overpass WBL,7,43.454058,-80.468277,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1967,1998,,3,Total=43  (1)=10.7;(2)=21.6;(3)=10.7;,43.1,22.8,West,WATERLOO,Open to traffic,Provincial,06/06/2013,69.1,69.1,,69.5,,70.9,,73.1,,75,,75,,75,
33 - 234/,Frederick Street Underpass,7,43.458855,-80.471362,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,1985,2012,4,Total=72.9  (1)=18;(2)=18;(3)=18.3;(4)=18.6;,73.4,18.9,West,WATERLOO,Open to traffic,Provincial,06/13/2013,64.2,64.2,,64.3,,65,,70.6,,72.3,,74,,75,
33 - 235/,Victoria Street Underpass,7,43.462019,-80.471147,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,2000,2013,4,Total=78.7  (1)=19.2;(2)=18.9;(3)=18.9;(4)=21.7;,81,18.9,West,WATERLOO,Open to traffic,Provincial,06/13/2013,63.7,63.7,,63.5,,64.4,,70.6,,75,,75,,,
33 - 236/,CNR Subway near Victoria St,85,43.463112,-80.471131,Bridge,Beam/Girder,T Beam (Boat Type),Reinforced Cast-In-Place Concrete,1968,,2013,4,Total=71.6  (1)=18;(2)=18;(3)=17.8;(4)=17.8;,71,10.6,West,WATERLOO,Open to traffic,Provincial,10/03/2013,69.2,69.2,,69.6,,67.4,,71.3,74,,,,,,
33 - 237/1,Wellington Street Underpass EBL,85,43.465253,-80.471866,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1969,2000,2013,4,Total=78.1  (1)=21.9;(2)=16.8;(3)=16.8;(4)=22.6;,77.8,14,West,WATERLOO,Open to traffic,Provincial,10/17/2013,73.3,73.3,,76,,76.7,,73.5,,75,,75,,,
33 - 237/2,Wellington Street Underpass WBL,85,43.465407,-80.471947,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1969,2000,2013,4,Total=78.1  (1)=21.9;(2)=16.8;(3)=16.8;(4)=22.6;,79,17.5,West,WATERLOO,Open to traffic,Provincial,10/17/2013,72.8,72.8,,73.2,,74,,68.9,,74.9,,75,,,
33 - 238/1,Guelph Street Overpass SBL,85,43.468416,-80.473481,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1967,2013,1986,1,Total=20.1  (1)=20.1;,22.3,33.4,West,WATERLOO,Open to traffic,Provincial,06/18/2013,66.5,66.5,,69.4,,69.2,,68.6,,72.9,,74.9,,74.9,
33 - 238/2,Guelph Street Overpass NBL,85,43.468363,-80.473679,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1967,1994,2013,1,Total=20.1  (1)=20.1;,22.6,33.8,West,WATERLOO,Open to traffic,Provincial,06/18/2013,67.4,67.4,,70,,70.4,,67.7,,73.1,,74.9,,74.9,
33 - 239/,Lancaster Street Underpass,85,43.473803,-80.484392,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,2014,,2,Total=56.7  (1)=26.2;(2)=30.5;,57.2,20.9,West,WATERLOO,Open to traffic,Provincial,06/18/2013,66.9,66.9,,68.8,,69.3,,64.2,,69.8,,68.8,,74.7,
33 - 240/1,Bridgeport Road Overpass SBL (OLD EBL),85,43.474016,-80.493899,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1969,2013,2008,3,Total=56.9  (1)=15.8;(2)=25.3;(3)=15.8;,59.4,18.2,West,WATERLOO,Open to traffic,Provincial,12/09/2013,82,82,,66.4,,64.4,,62.3,,66.9,,72.2,,74.4,
33 - 240/2,Bridgeport Road Overpass NBL (OLD WBL),85,43.474128,-80.493596,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1969,2013,2008,3,Total=56.9  (1)=15.8;(2)=25.3;(3)=15.8;,59.8,21.4,West,WATERLOO,Open to traffic,Provincial,12/09/2013,75.8,75.8,,60.2,,59.5,,63.9,,64.2,,66.2,,74.5,
33 - 242/,University Ave. Underpass,85,43.486196,-80.501446,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,2014,,2,Total=61  (1)=30.5;(2)=30.5;,62,22.6,West,WATERLOO,Open to traffic,Provincial,06/13/2013,64.5,64.5,,66.3,,68.3,,69.9,,70.9,,74.2,,74.3,
33 - 243/,Lexington Ave. Underpass,85,43.491612,-80.514654,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,2014,,2,Total=70.2  (1)=35.1;(2)=35.1;,71.1,18.9,West,WATERLOO,Open to traffic,Provincial,06/18/2013,69,69,,69.8,,70.7,,71.5,,74.8,,75,,,
33 - 267/1,King Street North Overpass SBL,85,43.493298,-80.528616,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,2013,2009,3,Total=63.4  (1)=15.2;(2)=33;(3)=15.2;,64.4,21.7,West,WATERLOO,Open to traffic,Provincial,12/09/2013,84,84,,72.1,,73.2,,72.3,,72.3,,73.2,,74.6,
33 - 267/2,King Street North Overpass NBL,85,43.493082,-80.528568,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,2013,2009,3,Total=63.4  (1)=15.2;(2)=33;(3)=15.2;,64.4,21.7,West,WATERLOO,Open to traffic,Provincial,12/09/2013,81,81,,71.7,,73.4,,69.4,,69.4,,72.8,,74.4,
33 - 277/,Northfield Drive Underpass,85,43.499008,-80.540643,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1990,2014,2011,2,Total=66  (1)=33;(2)=33;,67,33.1,West,WATERLOO,Open to traffic,Provincial,05/07/2013,72.9,72.9,,73.1,,73.1,,72.8,,74.9,,74.9,,75,
33 - 291/1,Regional Road 15 (King Street) Underpass EBL,85,43.511635,-80.546573,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1974,2014,,2,Total=56.6  (1)=28.3;(2)=28.3;,57.5,12.4,West,WATERLOO,Open to traffic,Provincial,07/04/2013,69.2,69.2,,69.5,,69.4,,72,,72.6,,74.9,,75,
33 - 291/2,Reg Rd 15 (King Street) Underpass WBL,85,43.511635,-80.546572,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,2008,,,2,Total=64.5  (1)=29.5;(2)=35;,65.7,18.8,West,WATERLOO,Open to traffic,Provincial,07/04/2013,97.4,97.4,,98.9,,99.8,,,,,,,,,
33 - 294/1,SPORTSWORLD DRIVE OVERPASS EBL,8,43.410406,-80.391834,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1987,2010,2012,1,Total=41  (1)=41;,44,22,West,WATERLOO,Open to traffic,Provincial,04/19/2012,76.6,,76.6,,77.2,,73.9,,74.8,,75,,75,75,
33 - 294/2,SPORTSWORLD DRIVE OVERPASS WBL,8,43.410586,-80.391696,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1987,2009,2006,1,Total=41  (1)=41;,44.1,20.6,West,WATERLOO,Open to traffic,Provincial,04/19/2012,77.1,,77.1,,77.8,,74.8,,74.7,,75,,75,75,
33 - 298/,Highway #8 Ramp Underpass,401,43.403152,-80.376701,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1985,,2012,4,Total=150  (1)=41;(2)=30;(3)=40;(4)=39;,150.1,14,West,WATERLOO,Open to traffic,Provincial,08/22/2012,73.4,,73.4,,73.5,,73,,73.8,,74.5,,74.1,75,
33 - 358/1,Trussler Road Overpass EBL,7,43.409033,-80.54808,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1992,,,3,Total=76  (1)=22;(2)=32;(3)=22;,76,21.2,West,WATERLOO,Open to traffic,Provincial,06/06/2013,84.6,84.6,,86.1,,85.8,,74.8,,75,,75,,75,
33 - 358/2,Trussler Road Overpass WBL,7,43.409286,-80.54835,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1992,,,3,Total=76  (1)=22;(2)=32;(3)=22;,76.1,22.8,West,WATERLOO,Open to traffic,Provincial,06/06/2013,87.1,87.1,,86.6,,86.7,,74.6,,75,,75,,75,
33 - 359/,Regional Road 12 Underpass,7,43.405834,-80.596761,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1994,,,2,Total=84  (1)=42;(2)=42;,85.1,14.8,West,WATERLOO,Open to traffic,Provincial,04/09/2013,76.9,76.9,,77.1,,77.1,,74.8,,75,,75,,75,
33 - 360/,Township Road 16 Underpass,7,43.396178,-80.639024,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1994,,,2,Total=70  (1)=35;(2)=35;,71.2,9.5,West,WATERLOO,Open to traffic,Provincial,04/09/2013,78.4,78.4,,78.7,,73.4,,74.8,,75,,75,,75,
33 - 361/1,Regional Road 51 Overpass EBL,7,43.393452,-80.655757,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1994,,,3,Total=66  (1)=18;(2)=30;(3)=18;,66.7,23.7,West,WATERLOO,Open to traffic,Provincial,04/09/2013,82.2,82.2,,81.5,,80.2,,74.6,,75,,75,,75,
33 - 361/2,Regional Road 51 Overpass WBL,7,43.393696,-80.656114,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1994,,,3,Total=66  (1)=18;(2)=30;(3)=18;,66.8,18,West,WATERLOO,Open to traffic,Provincial,04/09/2013,84.9,84.9,,84.4,,84.6,,74.7,,75,,75,,75,
33 - 393/,E-S Ramp Underpass,8,43.436468,-80.456291,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,2004,,2006,7,Total=387.9  (1)=45.5;(2)=60;(3)=62.5;(4)=57.2;(5)=57.7;(6)=60;(7)=45;,388,13.5,West,WATERLOO,Open to traffic,Provincial,08/28/2012,98,,98,,98.7,,99.2,,99.6,,100,,,,
33 - 394/,S-E Ramp / Weber Street Overpass,8,43.437559,-80.456045,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,2002,,,3,Total=77.5  (1)=22.6;(2)=32.3;(3)=22.6;,78.5,12.5,West,WATERLOO,Open to traffic,Provincial,05/22/2012,94.6,,94.6,,95.2,,100,,100,,100,,,,
33 - 484/,New Dundee Direct Access Road Bridge,401,43.385069,-80.40717,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,2006,,,1,Total=15.2  (1)=15.2;,16.3,16.7,West,WATERLOO,Open to traffic,Provincial,05/01/2012,98.4,,98.4,,98.6,,99.5,,,,,,,,
34 -  25/1,QEW / CNR Subway Mile 5.8 Grimsby Subdivision north Track,1,43.145255,-79.141493,Bridge,Truss,Through Truss,Weathering Steel,2007,,,2,Total=71.4  (1)=35.7;(2)=35.7;,72,5.9,Central,WELLAND,Open to traffic,Provincial,12/10/2013,98.2,98.2,,98.8,,92.4,,100,,,,,,,
34 -  25/2,QEW / CNR Subway Mile 5.8 Grimsby Subdivision south Track,1,43.145126,-79.141515,Bridge,Truss,Through Truss,Weathering Steel,2006,2007,,2,Total=71.4  (1)=35.7;(2)=35.7;,74,5.9,Central,WELLAND,Open to traffic,Provincial,12/10/2013,98.6,98.6,,98.6,,92.4,,100,,,,,,,
34 -  26/1,"QEW/Thorold Stone Road Underpass, EBL",1,43.114613,-79.120281,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1998,1999,,2,Total=73  (1)=36.5;(2)=36.5;,74.2,14.5,Central,WELLAND,Open to traffic,Provincial,09/04/2013,93.2,93.2,,93,,94.8,,93.7,94.9,,96.3,,,,
34 -  26/2,"QEW/Thorold Stone Road Underpass, WBL",1,43.114749,-79.120284,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1999,,,2,Total=73  (1)=36.5;(2)=36.5;,74.2,14.5,Central,WELLAND,Open to traffic,Provincial,09/04/2013,93.3,93.3,,93.1,,94.7,,94.9,95,,97.3,,,,
34 -  27/,CNR OVERHEAD BRIDGE #3,1,43.099737,-79.119373,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,2002,,,1,Total=15.3  (1)=15.3;,18.4,31.4,Central,WELLAND,Open to traffic,Provincial,09/04/2013,93.2,93.2,,91.3,,92.7,,97.8,96.4,,99.6,,,,
34 -  28/,HWY #20 UNDERPASS - LUNDY'S LANE,1,43.089098,-79.118905,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1963,2013,,2,Total=34  (1)=17;(2)=17;,34.7,27.1,Central,WELLAND,Open to traffic,Provincial,10/03/2013,65.1,65.1,,65.1,,65.9,,67.1,70.9,71.1,,,,,67.9
34 -  31/,Drummond Avenue Underpass,420,43.096064,-79.098026,Bridge,Beam/Girder,CPCI Girder,Reinforced Precast Concrete,2004,,,2,Total=40  (1)=20;(2)=20;,40.6,11.4,Central,WELLAND,Open to traffic,Provincial,10/01/2013,88.8,88.8,,90.3,,88.2,,98.8,89.1,,82.9,,,,42.3
34 -  32/,Portage Rd U'Pass ,420,43.096177,-79.091002,Bridge,Beam/Girder,CPCI Girder,Reinforced Precast Concrete,2004,,,2,Total=40  (1)=20;(2)=20;,40.6,11.4,Central,WELLAND,Open to traffic,Provincial,10/01/2013,96,96,,96.6,,94.8,,97.4,98.4,,98.3,,,,63.1
34 -  65/1,Welland River & PCR OH NBL (EAST BRIDGE),1,43.045726,-79.1215,Bridge,Beam/Girder,Rolled I Beam,Steel,1941,1983,,18,Total=288.3  (1)=14.6;(2)=14.6;(3)=14.6;(4)=14.6;(5)=21.9;(6)=21.9;(7)=21.9;(8)=14.6;(9)=14.6;(10)=14.6;(11)=14.6;(12)=15.5;(13)=15.5;(14)=15.5;(15)=15.5;(16)=14.6;(17)=14.6;(18)=14.6;,290.8,13.2,Central,WELLAND,Open to traffic,Provincial,12/10/2013,72.7,72.7,,72.7,,72.1,,72.1,74.5,76.7,,75.2,,74.6,
34 -  65/2,Welland River & PCR OH SBL (WEST BRIDGE),1,43.045734,-79.121731,Bridge,Beam/Girder,Rolled I Beam,Steel,1941,1990,,18,Total=288.3  (1)=14.6;(2)=14.6;(3)=14.6;(4)=14.6;(5)=21.9;(6)=21.9;(7)=21.9;(8)=14.6;(9)=14.6;(10)=14.6;(11)=14.6;(12)=15.5;(13)=15.5;(14)=15.5;(15)=15.5;(16)=14.6;(17)=14.6;(18)=14.6;,290.8,13.2,Central,WELLAND,Open to traffic,Provincial,12/10/2013,74,74,,73.8,,72.4,,74.6,74.3,76.9,,75.6,,79.1,
34 -  66/1,Lyons Creek Bridge (NBL),1,43.031246,-79.110776,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1941,2000,,3,Total=30  (1)=5;(2)=20;(3)=5;,30.2,12.9,Central,WELLAND,Open to traffic,Provincial,10/18/2013,70.5,70.5,,71.3,,72.9,,71.8,72.5,72.5,,,0,,0
34 -  66/2,Lyons Creek - SBL,1,43.031132,-79.110951,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1941,2000,,3,Total=30  (1)=5;(2)=20;(3)=5;,30.2,14.5,Central,WELLAND,Open to traffic,Provincial,10/18/2013,71.7,71.7,,71.5,,72,,68.3,71.9,71.8,,,,,0
34 -  67/1,Tee Creek Bridge NBL,1,43.029294,-79.10826,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1941,2000,,3,Total=30  (1)=5;(2)=20;(3)=5;,30.2,13,Central,WELLAND,Open to traffic,Provincial,10/18/2013,70.7,70.7,,72.2,,72.3,,72.4,72.7,72.7,,,,,67.9
34 -  67/2,Tee Creek Bridge SBL,1,43.029157,-79.108443,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1981,2000,,3,Total=39.3  (1)=9.8;(2)=19.7;(3)=9.8;,39.8,13.9,Central,WELLAND,Open to traffic,Provincial,10/18/2013,72.7,72.7,,73.7,,74.5,,79,82.6,86.6,,,,,75
34 - 102/,MILL RACE BR-WAINFLEET #2,3,42.924773,-79.376426,Bridge,Frame,"Rigid Frame, Other",Mass Concrete,2002,,,1,Total=11.4  (1)=11.4;,21.7,16.7,Central,WELLAND,Open to traffic,Provincial,09/13/2013,89,89,,89.3,,91.2,,86.9,74.1,,74,,,57.3,
34 - 111/,CNR overhead,58,42.948951,-79.262957,Bridge,Beam/Girder,Rolled I Beam,Steel,1954,2014,,6,Total=60.2  (1)=9.1;(2)=11.9;(3)=9.1;(4)=9.1;(5)=11.9;(6)=9.1;,30.6,9.7,Central,WELLAND,Open to traffic,Provincial,10/09/2013,64.7,64.7,,66.2,,67.5,,69.1,69.1,,,,,,
34 - 112/,Forks Rd. Underpass,58,42.947162,-79.263522,Bridge,Beam/Girder,Rolled I Beam,Steel,1954,2014,,3,Total=30.5  (1)=6.9;(2)=15.1;(3)=8.5;,30.8,9.7,Central,WELLAND,Open to traffic,Provincial,10/09/2013,60.4,60.4,,61.4,,62.3,,65.1,68.7,,,,,,
